date,currency_code,media_type,ad_format,bids,impressions,cost,clicks,conversions
2018-10-04T00:00:00Z,USD,Display,160x600,11287,1656,4.47172439823229,0,0
2018-10-04T00:00:00Z,USD,Display,300x250,74355,10520,28.6347213548888,2,32
2018-10-04T00:00:00Z,USD,Display,320x50,38200,7823,20.86614758050985,9,12
2018-10-04T00:00:00Z,USD,Display,728x90,28309,4477,13.60811133678746,2,3
2018-10-04T00:00:00Z,USD,Display,160x600,16766,1607,6.207731818175166,0,2
2018-10-04T00:00:00Z,USD,Display,300x250,96626,8504,34.48602925439387,4,27
2018-10-04T00:00:00Z,USD,Display,320x50,41655,5582,25.049768106342,3,1
2018-10-04T00:00:00Z,USD,Display,728x90,34750,3288,12.898409763617973,0,1
2018-10-04T00:00:00Z,USD,Display,160x600,31,2,0.007522121686747,0,0
2018-10-04T00:00:00Z,USD,Display,300x250,245,51,0.205184964192777,1,0
2018-10-04T00:00:00Z,USD,Display,320x50,84,29,0.119550743067472,0,0
2018-10-04T00:00:00Z,USD,Display,728x90,90,19,0.080424807807227,0,0
2018-10-04T00:00:00Z,USD,Display,160x600,11335,1666,4.36258622728063,0,0
2018-10-04T00:00:00Z,USD,Display,300x250,81937,10521,27.913193646915648,6,7
2018-10-04T00:00:00Z,USD,Display,320x50,35071,7290,18.772076147338275,6,8
2018-10-04T00:00:00Z,USD,Display,728x90,26881,3805,10.054992747947807,1,19
2018-10-04T00:00:00Z,USD,Display,160x600,14652,1783,6.844613657343093,0,4
2018-10-04T00:00:00Z,USD,Display,300x250,97675,8845,35.87737870703147,2,18
2018-10-04T00:00:00Z,USD,Display,320x50,39449,6187,31.51951826153891,6,24
2018-10-04T00:00:00Z,USD,Display,728x90,36398,3305,13.055269580300642,0,15
2018-10-04T00:00:00Z,USD,Display,160x600,26,10,0.038730983132531,1,0
2018-10-04T00:00:00Z,USD,Display,300x250,228,43,0.189987490756629,0,0
2018-10-04T00:00:00Z,USD,Display,320x50,205,42,0.176458786530121,0,0
2018-10-04T00:00:00Z,USD,Display,728x90,66,21,0.093147583132531,1,0
2018-10-04T00:00:00Z,USD,Display,160x600,7690,1046,2.748704802852665,0,1
2018-10-04T00:00:00Z,USD,Display,300x250,60245,8148,21.61707163302409,3,24
2018-10-04T00:00:00Z,USD,Display,320x50,30556,5554,14.451456972828694,2,1
2018-10-04T00:00:00Z,USD,Display,728x90,21615,3073,8.10931622558087,0,2
